scene,model,model_key,direction,block_size,test_block_count,mean_drop_pp,ci95_lower_pp,ci95_upper_pp,ci_excludes_zero,bootstrap_replicates,source
HanChuan,SSResNet-3x3,ssresnet3x3,plus,32,371,9.547942942008376,8.07759985642042,10.930373918032274,True,2000,post_hoc_block_size_sensitivity
HanChuan,SpectralFormer-3x3,spectralformer3x3,minus,32,371,3.8348956406116486,2.4824651040835306,5.109850748674944,True,2000,post_hoc_block_size_sensitivity
HanChuan,SpectralFormer-3x3,spectralformer3x3,plus,32,371,3.477882519364357,2.657029786147177,4.423460982739925,True,2000,post_hoc_block_size_sensitivity
HongHu,Linear,linear,minus,8,4625,10.17946935512803,9.380281154235657,10.916770320216362,True,2000,post_hoc_block_size_sensitivity
HongHu,Linear,linear,plus,8,4625,7.392854338342493,6.801780937811019,7.907787028488449,True,2000,post_hoc_block_size_sensitivity
HongHu,MLP,mlp,minus,8,4625,11.38481659645384,10.663526153361255,12.093572539700704,True,2000,post_hoc_block_size_sensitivity
HongHu,MLP,mlp,plus,8,4625,5.632755885070017,5.103736318986527,6.158401687544855,True,2000,post_hoc_block_size_sensitivity
HongHu,CNN-1D,cnn1d,minus,8,4625,6.495506387542595,5.934776636856525,7.060369632968849,True,2000,post_hoc_block_size_sensitivity
HongHu,CNN-1D,cnn1d,plus,8,4625,7.660782330415465,7.072769251398063,8.145911712453447,True,2000,post_hoc_block_size_sensitivity
HongHu,SSCNN-3x3,sscnn3x3,minus,8,4625,20.552618977698415,19.592476429587062,21.452573094479952,True,2000,post_hoc_block_size_sensitivity
HongHu,SSCNN-3x3,sscnn3x3,plus,8,4625,15.61156833036379,14.707411203702742,16.48819894258949,True,2000,post_hoc_block_size_sensitivity
HongHu,SSResNet-3x3,ssresnet3x3,minus,8,4625,25.20263853694566,24.27528849155219,26.023001834009346,True,2000,post_hoc_block_size_sensitivity
HongHu,SSResNet-3x3,ssresnet3x3,plus,8,4625,17.895350220867176,17.016261983408846,18.742835670836605,True,2000,post_hoc_block_size_sensitivity
HongHu,SpectralFormer-3x3,spectralformer3x3,minus,8,4625,16.148918548768215,15.301116019233385,16.939170051916413,True,2000,post_hoc_block_size_sensitivity
HongHu,SpectralFormer-3x3,spectralformer3x3,plus,8,4625,14.993821030313319,14.245006773874842,15.706636248325756,True,2000,post_hoc_block_size_sensitivity
HongHu,Linear,linear,minus,16,1191,10.179469450656365,8.77884497218877,11.287480568431231,True,2000,frozen_primary_analysis
HongHu,Linear,linear,plus,16,1191,7.392854507780771,6.3362755993553845,8.256923381460515,True,2000,frozen_primary_analysis
HongHu,MLP,mlp,minus,16,1191,11.384816412151759,10.08699131814012,12.490141092397371,True,2000,frozen_primary_analysis
HongHu,MLP,mlp,plus,16,1191,5.63275549367565,4.7710367170298715,6.448590666318826,True,2000,frozen_primary_analysis
HongHu,CNN-1D,cnn1d,minus,16,1191,6.495506339892378,5.539689684642594,7.415974471272907,True,2000,frozen_primary_analysis
HongHu,CNN-1D,cnn1d,plus,16,1191,7.66078229301298,6.623510250990586,8.46010537157428,True,2000,frozen_primary_analysis
HongHu,SSCNN-3x3,sscnn3x3,minus,16,1191,20.552619033820868,18.771821573684935,21.928952659334453,True,2000,frozen_primary_analysis
HongHu,SSCNN-3x3,sscnn3x3,plus,16,1191,15.61156826747634,14.08801155722638,16.99445054439489,True,2000,frozen_primary_analysis
HongHu,SSResNet-3x3,ssresnet3x3,minus,16,1191,25.2026385355312,23.515601872476456,26.4021673938256,True,2000,frozen_primary_analysis
HongHu,SSResNet-3x3,ssresnet3x3,plus,16,1191,17.895350282321818,16.42390268163471,19.164772870436135,True,2000,frozen_primary_analysis
HongHu,SpectralFormer-3x3,spectralformer3x3,minus,16,1191,16.148918746263032,14.57649654813984,17.316836990573247,True,2000,frozen_primary_analysis
HongHu,SpectralFormer-3x3,spectralformer3x3,plus,16,1191,14.99382114544054,13.728427294323545,16.104254935229456,True,2000,frozen_primary_analysis
HongHu,Linear,linear,minus,32,434,10.17946935512803,8.24748566034462,11.619110102765264,True,2000,post_hoc_block_size_sensitivity
HongHu,Linear,linear,plus,32,434,7.392854338342493,5.879988285903395,8.437095080967989,True,2000,post_hoc_block_size_sensitivity
HongHu,MLP,mlp,minus,32,434,11.38481659645384,9.572496532716537,12.777303568934176,True,2000,post_hoc_block_size_sensitivity
HongHu,MLP,mlp,plus,32,434,5.632755885070017,4.365119072947307,6.64850197736682,True,2000,post_hoc_block_size_sensitivity
HongHu,CNN-1D,cnn1d,minus,32,434,6.495506387542595,5.170898304394952,7.794952257832676,True,2000,post_hoc_block_size_sensitivity
HongHu,CNN-1D,cnn1d,plus,32,434,7.660782330415465,6.226296752945268,8.571362332356241,True,2000,post_hoc_block_size_sensitivity
HongHu,SSCNN-3x3,sscnn3x3,minus,32,434,20.552618977698415,18.131900139264133,22.39136296990645,True,2000,post_hoc_block_size_sensitivity
HongHu,SSCNN-3x3,sscnn3x3,plus,32,434,15.61156833036379,13.321134155235171,17.35683135816692,True,2000,post_hoc_block_size_sensitivity
HongHu,SSResNet-3x3,ssresnet3x3,minus,32,434,25.20263853694566,22.734832276203882,26.831829839089718,True,2000,post_hoc_block_size_sensitivity
HongHu,SSResNet-3x3,ssresnet3x3,plus,32,434,17.895350220867176,15.519451078217978,19.42756891411475,True,2000,post_hoc_block_size_sensitivity
HongHu,SpectralFormer-3x3,spectralformer3x3,minus,32,434,16.148918548768215,14.004513319391249,17.853670499668542,True,2000,post_hoc_block_size_sensitivity
HongHu,SpectralFormer-3x3,spectralformer3x3,plus,32,434,14.993821030313319,13.027448894202033,16.340932003222402,True,2000,post_hoc_block_size_sensitivity
