geometry,scene,model,model_key,direction,five_seed_drop_mean_pp,five_seed_drop_sd_pp
coarse_broad,HanChuan,SSResNet-3x3,ssresnet3x3,plus,9.642728517790497,2.2658865582138423
coarse_broad,HanChuan,SpectralFormer-3x3,spectralformer3x3,minus,4.3331459753546575,0.749463935067353
coarse_broad,HanChuan,SpectralFormer-3x3,spectralformer3x3,plus,2.945190005380891,1.4061844816389133
coarse_broad,HongHu,Linear,linear,minus,10.51905952531231,0.16045549540330212
coarse_broad,HongHu,Linear,linear,plus,7.27897246950022,0.2596200532136797
coarse_broad,HongHu,MLP,mlp,minus,11.159462999655348,0.7038122137436841
coarse_broad,HongHu,MLP,mlp,plus,6.61796232574134,0.7111853986862073
coarse_broad,HongHu,CNN-1D,cnn1d,minus,7.90605652993372,0.8349854184431513
coarse_broad,HongHu,CNN-1D,cnn1d,plus,7.998142053234902,0.2788546853820449
coarse_broad,HongHu,SSCNN-3x3,sscnn3x3,minus,23.009418926816796,1.7880466835949436
coarse_broad,HongHu,SSCNN-3x3,sscnn3x3,plus,17.05186505801741,0.8905525907493643
coarse_broad,HongHu,SSResNet-3x3,ssresnet3x3,minus,24.89818965022171,4.291392781900924
coarse_broad,HongHu,SSResNet-3x3,ssresnet3x3,plus,17.34867942209314,2.698124300149522
coarse_broad,HongHu,SpectralFormer-3x3,spectralformer3x3,minus,16.658085754328518,1.9922288869119535
coarse_broad,HongHu,SpectralFormer-3x3,spectralformer3x3,plus,13.775888534504471,1.9063328927833272
