scene,model,model_key,capability_label,direction,condition,nominal_macro_f1,shifted_macro_f1,mean_drop_pp,seed_drop_std_pp,seed_t_p_two_sided,spatial_block_size,test_block_count,block_bootstrap_ci95_lower_pp,block_bootstrap_ci95_upper_pp,block_bootstrap_replicates,nominal_ece_mean,shifted_ece_mean,ece_change,label_flip_rate_mean,correct_to_wrong_rate_mean,wrong_to_correct_rate_mean,net_harm_rate_mean,holm_p_36,holm_pass_0p05,spatial_ci_excludes_zero
HanChuan,SSResNet-3x3,ssresnet3x3,standard-capability,plus,global_center_plus_2p2_nm,0.7377953148299785,0.642315884620797,9.547943020918161,3.0078599857929387,0.0020807235382280863,16,974,8.374203161694474,10.60372376991127,2000,0.06581008257122374,0.1009386775470726,0.03512859497584885,0.1216537056461822,0.07694867435888161,0.020572213983434007,0.05637646037544761,0.018726511844052777,True,True
HanChuan,SpectralFormer-3x3,spectralformer3x3,standard-capability,minus,global_center_minus_2p2_nm,0.7286509493934243,0.6903019972888569,3.8348952104567524,1.2460156094122425,0.002336174092111816,16,974,2.749975434911209,4.9181083677013,2000,0.07125351158113993,0.08855844290499171,0.017304931323851764,0.0821166853546497,0.03987557420334937,0.021211704705754692,0.018663869497594677,0.018726511844052777,True,True
HanChuan,SpectralFormer-3x3,spectralformer3x3,standard-capability,plus,global_center_plus_2p2_nm,0.7286509493934243,0.6938721249911872,3.4778824402237256,1.2625498165550146,0.0035256777785885474,16,974,2.763827586303005,4.207796461787072,2000,0.07125351158113993,0.08767703637307725,0.016423524791937306,0.07413751944153073,0.04037038376677397,0.01719969616956632,0.023170687597207654,0.024679744450119834,True,True
HongHu,Linear,linear,low-capability,minus,global_center_minus_2p2_nm,0.550952708186803,0.44915801368023944,10.179469450656365,0.3286682304637978,2.604582759788808e-07,16,1191,8.77884497218877,11.287480568431231,2000,0.16289490396929468,0.10592048993067901,-0.05697441403861565,0.23851166925124517,0.14485234085518148,0.029204287984850023,0.11564805287033145,9.116039659260829e-06,True,True
HongHu,Linear,linear,low-capability,plus,global_center_plus_2p2_nm,0.550952708186803,0.4770241631089953,7.392854507780771,0.13882036090834843,2.982435996945353e-08,16,1191,6.3362755993553845,8.256923381460515,2000,0.16289490396929468,0.09350864895399472,-0.06938625501529995,0.16384198804813596,0.07003773001541085,0.04197548756745267,0.02806224244795818,1.073676958900327e-06,True,True
HongHu,MLP,mlp,low-capability,minus,global_center_minus_2p2_nm,0.6164055385622694,0.5025573744407519,11.384816412151759,0.8536900131619948,7.531110382931079e-06,16,1191,10.08699131814012,12.490141092397371,2000,0.02127446050148867,0.08194106639682977,0.0606666058953411,0.25905592834678765,0.16816378981337893,0.03298018811866839,0.13518360169471055,0.0002184022011050013,True,True
HongHu,MLP,mlp,low-capability,plus,global_center_plus_2p2_nm,0.6164055385622694,0.560077983625513,5.63275549367565,0.45440596071758654,1.0077309193649496e-05,16,1191,4.7710367170298715,6.448590666318826,2000,0.02127446050148867,0.06344858219286816,0.04217412169137948,0.154969395691725,0.06915945641724278,0.03800538172050803,0.031154074696734743,0.0002720873482285364,True,True
HongHu,CNN-1D,cnn1d,low-capability,minus,global_center_minus_2p2_nm,0.5998184759485408,0.534863412549617,6.495506339892378,1.3765396874828342,0.0004563999171508235,16,1191,5.539689684642594,7.415974471272907,2000,0.020805035224271747,0.052996223424846625,0.032191188200574886,0.21066392266554587,0.11870703440146477,0.0355164567602429,0.08319057764122187,0.005933198922960706,True,True
HongHu,CNN-1D,cnn1d,low-capability,plus,global_center_plus_2p2_nm,0.5998184759485408,0.523210653018411,7.66078229301298,0.4063249110616751,1.8922795659626203e-06,16,1191,6.623510250990586,8.46010537157428,2000,0.020805035224271747,0.07523273082179026,0.05442769559751852,0.1614970265269545,0.07729967100972478,0.0362816852418151,0.04101798576790968,6.244522567676648e-05,True,True
HongHu,SSCNN-3x3,sscnn3x3,standard-capability,minus,global_center_minus_2p2_nm,0.7066405365694027,0.501114346231194,20.552619033820868,2.86284685268138,8.80607615444645e-05,16,1191,18.771821573684935,21.928952659334453,2000,0.07717996654552502,0.20859628544802922,0.1314163189025042,0.29632796610578893,0.21423692130803831,0.034540597206722805,0.1796963241013155,0.0016347084532548715,True,True
HongHu,SSCNN-3x3,sscnn3x3,standard-capability,plus,global_center_plus_2p2_nm,0.7066405365694027,0.5505248538946393,15.61156826747634,1.7644276996205972,3.8501696224281965e-05,16,1191,14.08801155722638,16.99445054439489,2000,0.07717996654552502,0.17202900311436645,0.09484903656884143,0.18893993632757963,0.12057276192408586,0.02365928008618482,0.09691348183790105,0.0008855390131584852,True,True
