geometry,band_count,spacing_nm,effective_fwhm_nm,shift_nm,absolute_shift_over_spacing,absolute_shift_over_fwhm,scene,model,model_key,direction,nominal_macro_f1_mean,shifted_macro_f1_mean,paired_macro_f1_drop_mean,paired_macro_f1_drop_std,ece_change_shifted_minus_nominal_mean,label_flip_rate_mean,correct_to_wrong_rate_mean,wrong_to_correct_rate_mean,low_capability_nominal_below_0p70
reference,68,8.0,15.0,2.2,0.275,0.14666666666666667,LongKou,SpectralFormer-3x3,spectralformer3x3,plus,0.8978991721588914,0.8289773279356629,0.06892184422322847,0.013332832671248358,0.046558505640818496,0.07688315512450081,0.06808988350479415,0.0045769917367539615,False
reference,68,8.0,15.0,-2.2,0.275,0.14666666666666667,HanChuan,Linear,linear,minus,0.5311868151957617,0.5043442733324488,0.026842541863312898,0.0027040714470670936,0.0027905889289281697,0.09623322602814048,0.028442869027380906,0.03350092234238796,True
reference,68,8.0,15.0,2.2,0.275,0.14666666666666667,HanChuan,Linear,linear,plus,0.5311868151957617,0.4790582521168637,0.052128563078897995,0.0029700478316515753,-0.039051156143782205,0.11130032191557852,0.057863782688899336,0.012698665316309185,True
reference,68,8.0,15.0,-2.2,0.275,0.14666666666666667,HanChuan,MLP,mlp,minus,0.6919441785316266,0.6375214808737454,0.05442269765788128,0.005443538941280711,0.03199201116530588,0.10565920353022029,0.05359279487828698,0.021927876442290304,True
reference,68,8.0,15.0,2.2,0.275,0.14666666666666667,HanChuan,MLP,mlp,plus,0.6919441785316266,0.6412141391595723,0.05073003937205443,0.012108110762372885,0.0354681593464715,0.11705573841646473,0.06240387745505842,0.02487937208377039,True
reference,68,8.0,15.0,-2.2,0.275,0.14666666666666667,HanChuan,CNN-1D,cnn1d,minus,0.6710481275096105,0.6131779638690908,0.05787016364051985,0.03591148524388826,0.029497178184467406,0.12437515824501755,0.058474337179440804,0.031086193800412342,True
reference,68,8.0,15.0,2.2,0.275,0.14666666666666667,HanChuan,CNN-1D,cnn1d,plus,0.6710481275096105,0.5789080332114607,0.09214009429814998,0.03485782216503025,0.08593011167039319,0.15594024668137593,0.09495424458349913,0.016532716027055378,True
reference,68,8.0,15.0,-2.2,0.275,0.14666666666666667,HanChuan,SSCNN-3x3,sscnn3x3,minus,0.7583294189219986,0.699490468549205,0.05883895037279367,0.008147784516420627,0.025442690829146374,0.08957789271892068,0.04950555213947264,0.019867616739610083,False
reference,68,8.0,15.0,2.2,0.275,0.14666666666666667,HanChuan,SSCNN-3x3,sscnn3x3,plus,0.7583294189219986,0.68412569923528,0.07420371968671866,0.028541607747555528,0.043554903486195236,0.10518754295221903,0.06645350309255978,0.018474337179440806,False
reference,68,8.0,15.0,-2.2,0.275,0.14666666666666667,HanChuan,SSResNet-3x3,ssresnet3x3,minus,0.7377953148299785,0.6385307639211693,0.09926455090880941,0.01706616009227657,0.04060427013185436,0.1348023293666582,0.07733497305313415,0.02686295077223569,False
